id,X,Y
"6229",-0.8605580000,21.0749970000
"6230",-0.3605580000,21.0749970000
"6231",0.1394420000,21.0749970000
"6232",0.6394420000,21.0749970000
"6233",1.1394420000,21.0749970000
"6247",8.1394420000,21.0749970000
"6248",8.6394420000,21.0749970000
"6249",9.1394420000,21.0749970000
"6250",9.6394420000,21.0749970000
"6251",10.1394420000,21.0749970000
"6252",10.6394420000,21.0749970000
"6253",11.1394420000,21.0749970000
"6254",11.6394420000,21.0749970000
"6255",12.1394420000,21.0749970000
"6256",12.6394420000,21.0749970000
"6257",13.1394420000,21.0749970000
"6258",13.6394420000,21.0749970000
"6259",14.1394420000,21.0749970000
"6260",14.6394420000,21.0749970000
"6261",15.1394420000,21.0749970000
"6262",15.6394420000,21.0749970000
"6263",16.1394420000,21.0749970000
"6264",16.6394420000,21.0749970000
"6265",17.1394420000,21.0749970000
"6266",17.6394420000,21.0749970000
"6267",18.1394420000,21.0749970000
"6268",18.6394420000,21.0749970000
"6269",19.1394420000,21.0749970000
"6270",19.6394420000,21.0749970000
"6271",20.1394420000,21.0749970000
"6272",20.6394420000,21.0749970000
"6281",25.1394420000,21.0749970000
"6282",25.6394420000,21.0749970000
"6283",26.1394420000,21.0749970000
"6284",26.6394420000,21.0749970000
"6285",27.1394420000,21.0749970000
"6286",27.6394420000,21.0749970000
"6287",28.1394420000,21.0749970000
"6288",28.6394420000,21.0749970000
"6289",29.1394420000,21.0749970000
"6290",29.6394420000,21.0749970000
"6291",30.1394420000,21.0749970000
"6292",30.6394420000,21.0749970000
"6293",31.1394420000,21.0749970000
"6294",31.6394420000,21.0749970000
"6295",32.1394420000,21.0749970000
"6296",32.6394420000,21.0749970000
"6297",33.1394420000,21.0749970000
"6298",33.6394420000,21.0749970000
"6299",34.1394420000,21.0749970000
"6300",34.6394420000,21.0749970000
"6301",35.1394420000,21.0749970000
"6302",35.6394420000,21.0749970000
"6303",36.1394420000,21.0749970000
"6304",36.6394420000,21.0749970000
"6404",-16.3605580000,20.5749970000
"6405",-15.8605580000,20.5749970000
"6406",-15.3605580000,20.5749970000
"6407",-14.8605580000,20.5749970000
"6408",-14.3605580000,20.5749970000
"6409",-13.8605580000,20.5749970000
"6410",-13.3605580000,20.5749970000
"6411",-12.8605580000,20.5749970000
"6412",-12.3605580000,20.5749970000
"6413",-11.8605580000,20.5749970000
"6414",-11.3605580000,20.5749970000
"6415",-10.8605580000,20.5749970000
"6416",-10.3605580000,20.5749970000
"6417",-9.8605580000,20.5749970000
"6418",-9.3605580000,20.5749970000
"6419",-8.8605580000,20.5749970000
"6420",-8.3605580000,20.5749970000
"6421",-7.8605580000,20.5749970000
"6422",-7.3605580000,20.5749970000
"6423",-6.8605580000,20.5749970000
"6424",-6.3605580000,20.5749970000
"6425",-5.8605580000,20.5749970000
"6426",-5.3605580000,20.5749970000
"6427",-4.8605580000,20.5749970000
"6428",-4.3605580000,20.5749970000
"6429",-3.8605580000,20.5749970000
"6430",-3.3605580000,20.5749970000
"6431",-2.8605580000,20.5749970000
"6432",-2.3605580000,20.5749970000
"6433",-1.8605580000,20.5749970000
"6434",-1.3605580000,20.5749970000
"6435",-0.8605580000,20.5749970000
"6436",-0.3605580000,20.5749970000
"6437",0.1394420000,20.5749970000
"6438",0.6394420000,20.5749970000
"6439",1.1394420000,20.5749970000
"6451",7.1394420000,20.5749970000
"6452",7.6394420000,20.5749970000
"6453",8.1394420000,20.5749970000
"6454",8.6394420000,20.5749970000
"6455",9.1394420000,20.5749970000
"6456",9.6394420000,20.5749970000
"6457",10.1394420000,20.5749970000
"6458",10.6394420000,20.5749970000
"6459",11.1394420000,20.5749970000
"6460",11.6394420000,20.5749970000
"6461",12.1394420000,20.5749970000
"6462",12.6394420000,20.5749970000
"6463",13.1394420000,20.5749970000
"6464",13.6394420000,20.5749970000
"6465",14.1394420000,20.5749970000
"6466",14.6394420000,20.5749970000
"6467",15.1394420000,20.5749970000
"6468",15.6394420000,20.5749970000
"6469",16.1394420000,20.5749970000
"6470",16.6394420000,20.5749970000
"6471",17.1394420000,20.5749970000
"6472",17.6394420000,20.5749970000
"6473",18.1394420000,20.5749970000
"6474",18.6394420000,20.5749970000
"6475",19.1394420000,20.5749970000
"6476",19.6394420000,20.5749970000
"6477",20.1394420000,20.5749970000
"6478",20.6394420000,20.5749970000
"6479",21.1394420000,20.5749970000
"6480",21.6394420000,20.5749970000
"6487",25.1394420000,20.5749970000
"6488",25.6394420000,20.5749970000
"6489",26.1394420000,20.5749970000
"6490",26.6394420000,20.5749970000
"6491",27.1394420000,20.5749970000
"6492",27.6394420000,20.5749970000
"6493",28.1394420000,20.5749970000
"6494",28.6394420000,20.5749970000
"6495",29.1394420000,20.5749970000
"6496",29.6394420000,20.5749970000
"6497",30.1394420000,20.5749970000
"6498",30.6394420000,20.5749970000
"6499",31.1394420000,20.5749970000
"6500",31.6394420000,20.5749970000
"6501",32.1394420000,20.5749970000
"6502",32.6394420000,20.5749970000
"6503",33.1394420000,20.5749970000
"6504",33.6394420000,20.5749970000
"6505",34.1394420000,20.5749970000
"6506",34.6394420000,20.5749970000
"6507",35.1394420000,20.5749970000
"6508",35.6394420000,20.5749970000
"6509",36.1394420000,20.5749970000
"6510",36.6394420000,20.5749970000
"6511",37.1394420000,20.5749970000
"6611",-15.8605580000,20.0749970000
"6612",-15.3605580000,20.0749970000
"6613",-14.8605580000,20.0749970000
"6614",-14.3605580000,20.0749970000
"6615",-13.8605580000,20.0749970000
"6616",-13.3605580000,20.0749970000
"6617",-12.8605580000,20.0749970000
"6618",-12.3605580000,20.0749970000
"6619",-11.8605580000,20.0749970000
"6620",-11.3605580000,20.0749970000
"6621",-10.8605580000,20.0749970000
"6622",-10.3605580000,20.0749970000
"6623",-9.8605580000,20.0749970000
"6624",-9.3605580000,20.0749970000
"6625",-8.8605580000,20.0749970000
"6626",-8.3605580000,20.0749970000
"6627",-7.8605580000,20.0749970000
"6628",-7.3605580000,20.0749970000
"6629",-6.8605580000,20.0749970000
"6630",-6.3605580000,20.0749970000
"6631",-5.8605580000,20.0749970000
"6632",-5.3605580000,20.0749970000
"6633",-4.8605580000,20.0749970000
"6634",-4.3605580000,20.0749970000
"6635",-3.8605580000,20.0749970000
"6636",-3.3605580000,20.0749970000
"6637",-2.8605580000,20.0749970000
"6638",-2.3605580000,20.0749970000
"6639",-1.8605580000,20.0749970000
"6640",-1.3605580000,20.0749970000
"6641",-0.8605580000,20.0749970000
"6642",-0.3605580000,20.0749970000
"6643",0.1394420000,20.0749970000
"6644",0.6394420000,20.0749970000
"6645",1.1394420000,20.0749970000
"6646",1.6394420000,20.0749970000
"6647",2.1394420000,20.0749970000
"6656",6.6394420000,20.0749970000
"6657",7.1394420000,20.0749970000
"6658",7.6394420000,20.0749970000
"6659",8.1394420000,20.0749970000
"6660",8.6394420000,20.0749970000
"6661",9.1394420000,20.0749970000
"6662",9.6394420000,20.0749970000
"6663",10.1394420000,20.0749970000
"6664",10.6394420000,20.0749970000
"6665",11.1394420000,20.0749970000
"6666",11.6394420000,20.0749970000
"6667",12.1394420000,20.0749970000
"6668",12.6394420000,20.0749970000
"6669",13.1394420000,20.0749970000
"6670",13.6394420000,20.0749970000
"6671",14.1394420000,20.0749970000
"6672",14.6394420000,20.0749970000
"6673",15.1394420000,20.0749970000
"6674",15.6394420000,20.0749970000
"6675",16.1394420000,20.0749970000
"6676",16.6394420000,20.0749970000
"6677",17.1394420000,20.0749970000
"6678",17.6394420000,20.0749970000
"6679",18.1394420000,20.0749970000
"6680",18.6394420000,20.0749970000
"6681",19.1394420000,20.0749970000
"6682",19.6394420000,20.0749970000
"6683",20.1394420000,20.0749970000
"6684",20.6394420000,20.0749970000
"6685",21.1394420000,20.0749970000
"6686",21.6394420000,20.0749970000
"6687",22.1394420000,20.0749970000
"6688",22.6394420000,20.0749970000
"6693",25.1394420000,20.0749970000
"6694",25.6394420000,20.0749970000
"6695",26.1394420000,20.0749970000
"6696",26.6394420000,20.0749970000
"6697",27.1394420000,20.0749970000
"6698",27.6394420000,20.0749970000
"6699",28.1394420000,20.0749970000
"6700",28.6394420000,20.0749970000
"6701",29.1394420000,20.0749970000
"6702",29.6394420000,20.0749970000
"6703",30.1394420000,20.0749970000
"6704",30.6394420000,20.0749970000
"6705",31.1394420000,20.0749970000
"6706",31.6394420000,20.0749970000
"6707",32.1394420000,20.0749970000
"6708",32.6394420000,20.0749970000
"6709",33.1394420000,20.0749970000
"6710",33.6394420000,20.0749970000
"6711",34.1394420000,20.0749970000
"6712",34.6394420000,20.0749970000
"6713",35.1394420000,20.0749970000
"6714",35.6394420000,20.0749970000
"6715",36.1394420000,20.0749970000
"6716",36.6394420000,20.0749970000
"6717",37.1394420000,20.0749970000
"6816",-16.3605580000,19.5749970000
"6817",-15.8605580000,19.5749970000
"6818",-15.3605580000,19.5749970000
"6819",-14.8605580000,19.5749970000
"6820",-14.3605580000,19.5749970000
"6821",-13.8605580000,19.5749970000
"6822",-13.3605580000,19.5749970000
"6823",-12.8605580000,19.5749970000
"6824",-12.3605580000,19.5749970000
"6825",-11.8605580000,19.5749970000
"6826",-11.3605580000,19.5749970000
"6827",-10.8605580000,19.5749970000
"6828",-10.3605580000,19.5749970000
"6829",-9.8605580000,19.5749970000
"6830",-9.3605580000,19.5749970000
"6831",-8.8605580000,19.5749970000
"6832",-8.3605580000,19.5749970000
"6833",-7.8605580000,19.5749970000
"6834",-7.3605580000,19.5749970000
"6835",-6.8605580000,19.5749970000
"6836",-6.3605580000,19.5749970000
"6837",-5.8605580000,19.5749970000
"6838",-5.3605580000,19.5749970000
"6839",-4.8605580000,19.5749970000
"6840",-4.3605580000,19.5749970000
"6841",-3.8605580000,19.5749970000
"6842",-3.3605580000,19.5749970000
"6843",-2.8605580000,19.5749970000
"6844",-2.3605580000,19.5749970000
"6845",-1.8605580000,19.5749970000
"6846",-1.3605580000,19.5749970000
"6847",-0.8605580000,19.5749970000
"6848",-0.3605580000,19.5749970000
"6849",0.1394420000,19.5749970000
"6850",0.6394420000,19.5749970000
"6851",1.1394420000,19.5749970000
"6852",1.6394420000,19.5749970000
"6853",2.1394420000,19.5749970000
"6854",2.6394420000,19.5749970000
"6855",3.1394420000,19.5749970000
"6861",6.1394420000,19.5749970000
"6862",6.6394420000,19.5749970000
"6863",7.1394420000,19.5749970000
"6864",7.6394420000,19.5749970000
"6865",8.1394420000,19.5749970000
"6866",8.6394420000,19.5749970000
"6867",9.1394420000,19.5749970000
