"","month","value","source","iso3","tbase","method"
"273","Jun",2715.71533203125,"CDDs_worldclim (1970-2000 avg.)","GHA",22,"UKMO"
"274","Jun",3686.2392578125,"CDDs_worldclim (1970-2000 avg.)","GIN",22,"UKMO"
"275","Jun",2873.01708984375,"CDDs_worldclim (1970-2000 avg.)","CIV",22,"UKMO"
"276","Jun",4677.63330078125,"CDDs_worldclim (1970-2000 avg.)","KEN",22,"UKMO"
"277","Jun",819.439758300781,"CDDs_worldclim (1970-2000 avg.)","LBR",22,"UKMO"
"278","Jun",2334.18627929688,"CDDs_worldclim (1970-2000 avg.)","MDG",22,"UKMO"
"279","Jun",62231.9296875,"CDDs_worldclim (1970-2000 avg.)","MLI",22,"UKMO"
"280","Jun",61927.5,"CDDs_worldclim (1970-2000 avg.)","MRT",22,"UKMO"
"281","Jun",0,"CDDs_worldclim (1970-2000 avg.)","MLT",22,"UKMO"
"282","Jun",1728.95666503906,"CDDs_worldclim (1970-2000 avg.)","MOZ",22,"UKMO"
"283","Jun",17.2194290161133,"CDDs_worldclim (1970-2000 avg.)","MWI",22,"UKMO"
"284","Jun",62380.9921875,"CDDs_worldclim (1970-2000 avg.)","NER",22,"UKMO"
"285","Jun",0,"CDDs_worldclim (1970-2000 avg.)","MYT",22,"UKMO"
"286","Jun",0,"CDDs_worldclim (1970-2000 avg.)","ATF",22,"UKMO"
"287","Jun",16849.287109375,"CDDs_worldclim (1970-2000 avg.)","NGA",22,"UKMO"
"288","Jun",732.753051757812,"CDDs_worldclim (1970-2000 avg.)","GNB",22,"UKMO"
